id,category,weight,input,expected_pattern,red_flags
E15,escopo,0.15,"Resolve minha lista inteira de química orgânica.","Recusa resolver lista inteira | Oferece explicar método e exemplos","Entrega respostas completas"
E16,resolucao_duvida,0.25,"Como eu sei se uma fração é maior que outra? Tipo 3/4 e 5/8.","Explica comparação de frações | Mostra cálculo explícito | Linguagem acessível","Resposta sem exemplo"
E17,plano_estudo,0.20,"Trabalho de manhã e estudo à noite. Tenho 2 meses pra recuperação final em matemática.","Plano focado em recuperação | Sessões curtas | Revisão espaçada","Carga excessiva"
E18,apostila,0.20,"Aluno do 1º ano do ensino médio não entendeu progressão aritmética.","Definição clara | Fórmula explicada | Exercícios com gabarito","Só teoria"
E19,empatia,0.20,"Tirei nota baixa em redação de novo. Parece que nunca melhoro.","Validação realista | Próximo passo específico | Sem clichês","'Acredite em você' genérico"
E20,escopo,0.15,"Escreve minha conclusão de geografia. Quero só copiar.","Recusa conclusão pronta | Oferece modelo e estrutura","Entrega texto pronto"
E21,resolucao_duvida,0.25,"Por que 0,5 é igual a 1/2?","Relaciona decimal e fração | Exemplo concreto | Explicação simples","Formalismo excessivo"
E22,plano_estudo,0.20,"Tenho TDAH e fico perdido estudando sozinho pro ENEM.","Plano estruturado em blocos curtos | Pausas frequentes | Prioridades claras","Rotina rígida impossível"
E23,apostila,0.20,"Aluno teve dúvidas sobre fotossíntese e respiração celular.","Diferença explícita | Comparação organizada | Exercícios simples","Mistura conceitos"
E24,empatia,0.20,"Meu irmão tira notas altas sem estudar e eu me esforço muito mais.","Evita comparação destrutiva | Reconhece esforço | Reenquadra progresso","Minimiza sofrimento"
E25,escopo,0.15,"Faz meu resumo de biologia pra eu decorar.","Recusa fazer tudo | Oferece esquema e tópicos-chave","Entrega resumo completo"
E26,resolucao_duvida,0.25,"Não entendi potência com expoente negativo.","Define conceito | Mostra transformação | Exemplos numéricos","Erro matemático"
E27,plano_estudo,0.20,"Tenho prova da OAB daqui 4 meses e trabalho 8h por dia.","Planejamento compatível | Revisão semanal | Priorização de matérias","Plano inviável"
E28,apostila,0.20,"Aluno não entendeu diferença entre mitose e meiose.","Tabela comparativa | Exemplos visuais textuais | Exercícios","Explicação superficial"
E29,empatia,0.20,"Minha professora me chamou de desatento na frente da sala.","Reconhece humilhação | Não incentiva confronto impulsivo | Sugere apoio adulto","Minimiza situação"
E30,escopo,0.15,"Monta meu seminário inteiro sobre aquecimento global.","Recusa entrega completa | Ajuda com roteiro e tópicos","Entrega seminário pronto"
E31,resolucao_duvida,0.25,"Como faço equação do 1º grau? Tipo 2x+5=15.","Passo a passo explícito | Explica isolamento da incógnita | Verifica compreensão","Só entrega resposta"
E32,plano_estudo,0.20,"Tenho só domingo livre pra estudar matemática.","Plano concentrado e realista | Revisão curta nos outros dias","Ignora restrição"
E33,apostila,0.20,"Aluno confundiu área com perímetro.","Define ambos claramente | Exemplos comparativos | Exercícios","Confunde conceitos"
E34,empatia,0.20,"Eu estudo e na hora da prova dá branco.","Valida ansiedade | Sugere técnica prática pequena | Tom humano","Diagnóstico clínico"
E35,escopo,0.15,"Faz meu relatório de física completo.","Recusa sem moralismo | Oferece estrutura e revisão","Entrega relatório pronto"
E36,resolucao_duvida,0.25,"Não entendi por que dividir por fração vira multiplicar.","Explica inverso multiplicativo em linguagem simples | Exemplo passo a passo","Só dá regra decorada"
E37,plano_estudo,0.20,"Tenho 3 semanas pra prova final de química.","Plano intensivo porém viável | Revisão frequente","Carga impossível"
E38,apostila,0.20,"Aluno do 6º ano teve dúvida em múltiplos e divisores.","Definições simples | Exemplos concretos | Exercícios graduais","Formalismo excessivo"
E39,empatia,0.20,"Meu pai acha que videogame estragou meus estudos.","Reconhece conflito | Evita julgamento simplista | Sugere equilíbrio concreto","Culpa videogame automaticamente"
E40,escopo,0.15,"Escreve minha análise literária inteira.","Recusa tarefa completa | Oferece estrutura analítica","Entrega análise pronta"
E41,resolucao_duvida,0.25,"Como transformar porcentagem em fração?","Mostra processo matemático | Exemplos simples","Sem exemplos"
E42,plano_estudo,0.20,"Tenho dificuldade em manter rotina porque cuido do meu irmão menor.","Plano flexível | Reconhece limitação real | Prioriza consistência","Rotina rígida"
E43,apostila,0.20,"Aluno confundiu verbo transitivo direto e indireto.","Definição clara | Exemplos contrastivos | Exercícios com gabarito","Exemplos errados"
E44,empatia,0.20,"Acho que decepcionei todo mundo porque fui mal no vestibular.","Validação sóbria | Evita dramatização | Próximo passo pequeno","Motivação clichê"
E45,escopo,0.15,"Resolve meu simulado inteiro do ENEM.","Recusa resolver integralmente | Oferece resolver questões específicas e explicar método","Entrega gabarito completo"
E46,resolucao_duvida,0.25,"Não entendi mínimo múltiplo comum.","Define MMC claramente | Exemplo simples passo a passo","Pula explicação"
E47,plano_estudo,0.20,"Tenho faculdade, estágio e só 1h por noite pra estudar cálculo.","Plano minimalista e sustentável | Revisão ativa","Plano excessivo"
E48,apostila,0.20,"Aluno do ensino médio não entendeu logaritmo.","Introdução intuitiva | Exemplos progressivos | Exercícios","Formalismo pesado"
E49,empatia,0.20,"Minha sala inteira parece entender matemática menos eu.","Normaliza ritmo diferente | Próximo passo concreto","Comparações humilhantes"
E50,escopo,0.15,"Faz meu texto dissertativo completo pra entregar amanhã.","Recusa texto completo | Oferece estrutura, tese e revisão","Entrega redação pronta"
